CAT_Level_1,CAT_Level_2,CWD,Language
CAT-0001 内存安全,CAT-0044 未正确分配内存,CWD-1002 内存分配大小未受限,"C,CPP,JAVA"
CAT-0001 内存安全,CAT-0044 未正确分配内存,CWD-1003 用于内存分配的缓冲区大小计算错误,"C,CPP"
CAT-0001 内存安全,CAT-0045 依赖错误的内存布局,CWD-1005 不正确的字节序,"C,CPP"
CAT-0001 内存安全,CAT-0045 依赖错误的内存布局,CWD-1006 依赖带位域的结构体的内存布局,"C,CPP"
CAT-0001 内存安全,CAT-0045 依赖错误的内存布局,CWD-1007 不正确的逐位操作,CPP
CAT-0001 内存安全,CAT-0045 依赖错误的内存布局,CWD-1008 使用可能导致内存布局不兼容的std：：vector<bool>,CPP
CAT-0001 内存安全,,CWD-1009 未受认可的内存安全函数,"C,CPP"
CAT-0001 内存安全,CAT-0046 内存访问长度不正确,CWD-1015 内存操作函数的源缓冲区访问长度设置不正确,"C,CPP"
CAT-0001 内存安全,CAT-0046 内存访问长度不正确,CWD-1016 内存操作函数的目的缓冲区访问长度设置不正确,"C,CPP"
CAT-0001 内存安全,,CWD-1017 内存拷贝重叠,"C,CPP"
CAT-0001 内存安全,CAT-0047 栈变量地址传递到其作用域外,CWD-1019 返回栈变量地址,"C,CPP"
CAT-0001 内存安全,CAT-0048 释放无效内存,CWD-1021 释放非堆内存,"C,CPP"
CAT-0001 内存安全,CAT-0048 释放无效内存,CWD-1022 内存的申请和释放函数未配对,"C,CPP"
CAT-0001 内存安全,CAT-0048 释放无效内存,CWD-1023 释放未在缓冲区起始处的指针,"C,CPP"
CAT-0001 内存安全,CAT-0049 过期指针解引用,CWD-1025 双重释放内存,"C,CPP"
CAT-0001 内存安全,CAT-0049 过期指针解引用,CWD-1026 访问已释放内存,"C,CPP"
CAT-0001 内存安全,,CWD-1027 内存在有效生命周期后未释放（内存泄漏）,"C,CPP"
CAT-0001 内存安全,,CWD-1028 数组索引越界,"C,CPP"
CAT-0001 内存安全,,CWD-1029 指针偏移量超出范围,"C,CPP"
CAT-0001 内存安全,,CWD-1030 访问未初始化的指针,"C,CPP,JAVA"
CAT-0001 内存安全,,CWD-1031 空指针解引用,"C,CPP,JAVA"
CAT-0001 内存安全,,CWD-1034 不受信任的指针解引用,"C,CPP"
CAT-0001 内存安全,CAT-0050 指针类型转换错误,CWD-1038 不同类型的对象指针之间转换错误,"C,CPP"
CAT-0001 内存安全,CAT-0050 指针类型转换错误,CWD-1039 指针与非指针类型之间转换错误,"C,CPP"
CAT-0001 内存安全,,CWD-1040 不正确的null结束符,"C,CPP"
CAT-0001 内存安全,,CWD-1042 未受控的格式化字符串,"C,CPP,JAVA"
CAT-0001 内存安全,,CWD-1043 容器访问越界,"CPP,JAVA"
CAT-0002 输入校验,,CWD-1044 文件名或路径外部可控,"C,CPP,JAVA"
CAT-0002 输入校验,,CWD-1045 依赖外部提供文件的文件名或扩展名,"C,CPP,JAVA"
CAT-0002 输入校验,,CWD-1046 无限制上传具有危险类型的文件,"C,CPP,JAVA"
CAT-0002 输入校验,,CWD-1047 验证框架使用不当,JAVA
CAT-0002 输入校验,,CWD-1059 路径遍历,"C,CPP,JAVA"
CAT-0002 输入校验,,CWD-1062 路径等价解析不当,JAVA
CAT-0002 输入校验,,CWD-1063 文件访问前链接解析不当（链接跟随）,JAVA
